country,Employee age,Emplyoee work exp,Salary
Canada,45,23,129100
Spain,32,8,73800
Brazil,27,8,47000
Spain,43,20,91800
Belgium,26,8,95900
Austria,25,0,57900
Netherlands,22,4,87500
Denmark,65,43,175500
Netherlands,37,17,119500
Netherlands,32,11,97400
Brazil,41,16,57300
Belgium,60,41,174500
Norway,30,5,86700
Sweden,36,10,87400
Italy,38,16,96000
US,40,11,107500
Spain,58,33,142900
Italy,32,12,84400
Austria,28,7,88200
Austria,27,9,76400
Canada,38,20,102500
Argentina,47,29,84600
Canada,38,18,100200
Italy,52,28,127000
Denmark,51,31,145200
Spain,24,0,45100
Canada,33,9,90700
France,38,19,99200
UK,39,17,111100
Mexico,32,14,60200
Norway,28,10,106200
Italy,34,9,65400
Poland,47,18,85400
Austria,36,16,105800
Ireland,47,26,139100
Sweden,42,23,119600
Spain,22,4,59700
Brazil,39,21,61300
Portugal,47,25,103100
Italy,38,17,86800
Mexico,45,25,82300
Poland,42,20,87600
Denmark,61,37,180200
UK,31,6,90300
Norway,36,16,160500
Canada,25,4,69500
Belgium,34,10,87400
US,37,15,118400
Poland,47,28,117800
Argentina,34,15,55200
Denmark,23,0,63300
Canada,33,8,89700
Germany,49,22,138100
Norway,35,15,115500
Poland,25,1,38800
Canada,47,22,106000
UK,31,10,95300
Portugal,40,18,87600
France,33,15,99300
France,39,16,115900
Sweden,34,16,107900
Netherlands,46,26,119700
Brazil,37,19,66600
Austria,47,27,142900
Canada,27,2,63400
Ireland,27,4,69300
Switzerland,34,14,140400
Belgium,37,12,93500
Ireland,27,4,75200
Mexico,23,4,29800
Norway,40,19,138300
Netherlands,46,22,131600
Canada,18,0,58400
Belgium,47,25,132400
Mexico,52,32,94300
Germany,45,24,124500
France,33,13,91700
France,37,14,92100
Denmark,46,20,130800
Norway,51,33,164500
Denmark,37,11,94000
UK,27,0,75100
Argentina,38,15,56800
Portugal,29,11,60800
Poland,37,19,99600
Ireland,32,10,102100
Norway,21,1,72700
Norway,31,6,84500
Belgium,34,9,102100
Switzerland,40,15,137900
Mexico,21,0,28400
Norway,31,11,98200
Italy,18,0,48300
Germany,32,7,88500
Sweden,43,18,106000
Italy,44,20,112700
Norway,32,13,125200
Ireland,18,0,67600
Germany,36,17,111700
Denmark,43,17,121400
Sweden,21,0,61700
Brazil,27,5,38700
Canada,54,35,140000
Portugal,27,5,41300
Canada,18,0,68800
Switzerland,53,28,164900
Italy,36,8,68900
Brazil,36,18,71800
Denmark,32,9,84400
Portugal,44,22,94400
Poland,65,36,129700
Argentina,18,0,21500
Spain,49,29,125800
Italy,55,28,126000
Ireland,24,2,61500
France,38,18,111000
Austria,23,2,69500
Switzerland,35,14,134900
UK,29,8,84600
Brazil,41,20,76800
Spain,31,10,86700
Sweden,22,3,77800
Switzerland,29,10,125200
Mexico,31,6,52100
Switzerland,32,14,135500
Belgium,30,9,79100
US,40,16,124200
Brazil,32,11,46100
Denmark,33,12,106400
Spain,41,22,111500
Canada,33,6,63400
France,33,8,85800
France,49,28,141300
Switzerland,40,21,158500
Austria,56,35,171400
Spain,35,12,88400
Denmark,19,0,85500
Switzerland,42,18,144100
Ireland,30,12,104900
Argentina,26,5,40500
US,40,15,114600
Poland,56,31,133500
Brazil,52,28,100500
Sweden,57,34,157400
US,41,17,108300
Ireland,31,2,71400
Mexico,18,0,5000
UK,38,17,112600
Italy,18,0,44200
Argentina,43,19,79400
Germany,36,18,116700
Norway,50,26,147800
Switzerland,43,24,150800
Argentina,36,12,46500
Brazil,38,13,54600
Poland,33,14,85700
Spain,27,7,70300
Denmark,42,21,136500
Canada,38,20,118500
Canada,35,12,96000
Argentina,18,0,10400
UK,40,21,140200
UK,28,5,94600
Mexico,57,31,104000
Brazil,37,17,47800
Argentina,31,9,45500
Mexico,18,0,19900
Portugal,47,25,116000
Portugal,55,33,116300
Mexico,34,13,48500
Belgium,31,6,78900
Argentina,34,13,56200
Portugal,44,23,92100
Portugal,19,0,26200
Canada,36,12,91800
Mexico,24,0,12700
Germany,26,0,71500
Mexico,38,15,68100
Ireland,28,9,105800
Argentina,28,7,41700
Canada,43,22,137800
Netherlands,28,6,82700
UK,55,33,149100
Sweden,34,16,106100
Belgium,18,0,63100
Portugal,47,24,104700
Switzerland,50,25,156100
Mexico,41,10,56400
Netherlands,37,15,118500
Switzerland,30,11,125200
Mexico,52,28,105300
US,47,21,133300
France,36,18,106600
Brazil,28,6,31300
Norway,32,8,99100
Switzerland,23,1,105000
Canada,47,28,134400
Germany,20,0,69600
Austria,35,10,92700
Italy,53,35,141800
Denmark,30,9,100500
Brazil,39,15,62100
Ireland,18,0,72100
Portugal,29,7,62900
Ireland,25,0,63600
Netherlands,33,11,107700
Ireland,37,15,114500
Switzerland,37,16,143300
Italy,36,13,76800
Argentina,36,15,54800
Sweden,32,3,73700
Mexico,21,0,11000
Spain,21,0,38600
Canada,41,16,116500
Norway,34,14,110500
Mexico,46,20,89600
Brazil,27,8,46500
Sweden,38,14,104900
Portugal,33,10,55600
Belgium,42,19,121200
UK,26,3,90200
Portugal,39,17,87700
UK,41,13,99900
Germany,23,0,70900
Spain,36,18,98600
France,30,7,85900
Canada,41,23,124800
Brazil,40,18,68400
Sweden,28,8,87600
Norway,44,22,137300
Belgium,25,2,71700
Belgium,37,14,104000
Spain,37,12,81200
Canada,35,8,82800
Ireland,37,11,98400
Mexico,33,7,45700
UK,39,18,111200
Sweden,31,4,70500
UK,37,17,110300
Canada,27,9,96300
Brazil,32,12,43100
Poland,50,29,193800
Italy,35,12,82700
Switzerland,33,8,116400
Italy,30,12,66300
Mexico,49,25,75400
Poland,45,27,96200
US,28,4,73400
US,35,14,110500
Brazil,20,2,30400
Austria,61,38,156300
France,49,25,121000
Switzerland,37,18,139000
Brazil,42,19,65700
Brazil,34,15,67200
Mexico,18,0,20300
Spain,42,18,98700
Germany,45,23,140400
Spain,26,3,66800
Argentina,44,24,80100
Brazil,24,6,23000
Italy,27,7,68200
Italy,49,20,99400
Belgium,45,25,129800
Brazil,25,3,33100
Belgium,32,14,101200
Portugal,40,17,78800
Mexico,38,15,57400
Portugal,54,29,112200
Brazil,32,10,36300
Austria,31,10,103900
US,33,5,92500
Brazil,32,6,46500
Argentina,33,10,46800
France,36,14,97100
Netherlands,31,5,82800
Argentina,42,18,54700
Argentina,37,15,65500
Austria,44,23,135000
Ireland,35,12,102100
Ireland,35,11,110100
Sweden,37,13,113500
Italy,36,12,82700
Belgium,34,13,98900
Belgium,27,9,92100
UK,43,18,125200
Brazil,50,32,99200
Austria,33,12,107900
US,42,20,126400
Brazil,43,25,81400
Italy,42,20,99000
Belgium,31,4,88200
Italy,49,24,117000
Belgium,27,3,63600
Ireland,27,7,96800
Ireland,20,0,63800
Norway,44,21,141900
Denmark,45,21,118500
Germany,32,8,80400
Spain,45,22,117400
Ireland,39,19,118800
Canada,50,28,129700
Germany,39,17,109800
Belgium,45,20,116800
Switzerland,33,15,134800
Ireland,36,14,98600
Brazil,38,16,70800
Poland,36,14,82100
Denmark,29,7,73500
US,41,18,125700
Portugal,18,0,19000
Spain,40,15,94900
Norway,26,7,100000
US,25,0,79600
Belgium,38,15,100600
Netherlands,21,0,77400
US,56,38,179300
US,29,4,103700
Belgium,49,28,130500
Germany,39,15,106500
Germany,22,2,85100
Mexico,55,36,218100
US,43,24,137800
Sweden,46,22,113600
Norway,33,10,101500
France,22,0,69700
Portugal,40,17,77200
Belgium,34,10,91000
Brazil,32,14,56100
Netherlands,33,13,106600
Canada,38,17,122200
France,49,20,102500
Poland,38,17,78200
Germany,23,5,73300
Mexico,31,13,53800
Italy,28,1,43700
France,50,31,149800
Italy,21,0,48000
Ireland,30,8,92300
Belgium,48,28,138900
Denmark,20,0,61100
Germany,41,21,128500
Argentina,35,11,53100
Argentina,32,11,44600
UK,36,10,94600
Germany,30,10,90300
Poland,36,16,160500
Belgium,24,0,60400
Switzerland,46,21,160600
Netherlands,18,0,63300
Austria,33,15,98200
Poland,46,25,94800
Argentina,21,2,28600
Denmark,34,10,109300
Netherlands,47,25,126700
Spain,36,12,88200
France,41,18,127800
Denmark,40,22,137800
UK,40,15,135000
Norway,47,26,139200
Sweden,37,14,101200
France,37,15,93800
Netherlands,41,20,120500
Switzerland,47,23,152100
France,29,6,73900
Sweden,38,17,104800
Canada,33,9,88800
Poland,47,17,83600
Italy,30,6,52600
Brazil,41,17,64400
Canada,26,6,87000
Argentina,50,28,132900
Portugal,24,3,44000
Italy,26,0,42900
Sweden,24,3,75200
Germany,50,29,127200
Sweden,55,37,163000
Mexico,32,11,46200
France,52,31,137900
Denmark,23,3,63300
UK,44,23,129500
Canada,37,17,122400
UK,55,37,164400
Sweden,47,26,130200
Spain,40,18,84700
Brazil,40,22,74900
Belgium,40,16,98600
Norway,36,16,123100
Ireland,45,27,139500
Ireland,47,24,126600
Poland,24,1,58500
Poland,42,19,96100
Belgium,43,25,127600
France,27,3,82700
Netherlands,30,12,107900
France,33,13,99900
Mexico,48,21,74800
Canada,40,19,121100
UK,20,1,59600
Poland,26,7,64700
Mexico,50,27,88900
Italy,45,22,111100
Spain,33,13,76200
Denmark,43,21,118600
Argentina,44,21,88100
Sweden,18,0,61400
US,41,23,132200
Poland,37,19,89400
Poland,18,0,49600
Argentina,31,9,36400
France,37,17,112200
Poland,34,12,62800
Norway,59,33,167800
Canada,39,21,106300
Spain,41,17,92300
Sweden,20,0,64200
Italy,37,18,90600
UK,36,15,100200
Switzerland,37,19,144400
Belgium,37,12,101400
Mexico,42,20,70300
Belgium,18,0,65200
Portugal,25,1,33400
Netherlands,36,13,94900
Switzerland,42,20,146100
Germany,30,7,79900
Denmark,18,0,65900
France,38,15,104400
Norway,30,6,93200
Belgium,39,16,116800
Italy,49,26,116100
Germany,43,23,133000
Denmark,33,12,101600
Italy,34,16,73200
Switzerland,36,14,140100
Netherlands,50,26,150500
US,23,5,83300
Italy,36,13,92000
Spain,46,23,119300
Canada,32,6,84500
Spain,38,14,85800
Norway,24,0,67000
Ireland,25,0,77500
Switzerland,34,12,113000
Canada,50,28,134300
France,33,13,94100
Netherlands,36,12,107400
France,18,0,69000
Argentina,27,5,47000
Poland,38,12,77500
Poland,42,17,96100
Switzerland,39,16,123600
Netherlands,44,18,125000
Poland,28,5,55500
Belgium,27,7,88700
Ireland,36,13,95000
Sweden,36,17,124300
Austria,18,0,73900
Switzerland,46,27,171000
Brazil,41,23,81100
US,18,0,78700
Italy,44,23,117800
Canada,23,3,71700
Spain,22,2,45100
Ireland,41,18,98300
France,47,26,133900
Austria,47,21,121400
Denmark,48,25,130800
Italy,38,20,100900
Canada,33,13,102600
Denmark,28,1,83100
Poland,34,13,79500
Denmark,24,0,72200
Portugal,42,24,93400
Spain,31,9,48200
Poland,22,3,52000
Mexico,32,6,33300
France,36,17,106200
Argentina,47,21,72100
Poland,27,4,34700
US,31,13,101100
Switzerland,38,13,131800
Norway,25,5,82500
Austria,42,24,122700
Netherlands,18,0,66700
Switzerland,25,0,102400
Switzerland,27,6,103200
Denmark,34,12,105100
UK,43,18,110000
US,35,14,106400
Argentina,47,22,89200
Netherlands,37,16,104600
Norway,20,0,66200
Austria,35,11,179600
Poland,35,10,49100
Germany,39,17,114700
Ireland,23,0,58400
Canada,36,13,91800
Ireland,42,21,131100
Austria,38,10,97600
Switzerland,52,33,184200
Argentina,40,22,96200
Ireland,31,6,78300
Norway,50,23,136400
Argentina,49,28,90900
Germany,29,10,94400
Sweden,24,2,65100
Sweden,39,18,109400
Ireland,40,18,101100
Canada,39,20,121500
Switzerland,48,26,165600
Austria,46,28,148400
Italy,41,12,86100
Belgium,39,15,107700
UK,21,0,85600
Poland,33,11,69500
Mexico,31,9,54900
Germany,37,11,96600
Denmark,36,8,79600
Portugal,41,21,85300
UK,40,19,121500
Norway,32,8,88700
Belgium,40,22,113000
Brazil,36,16,56900
Norway,46,20,133300
Norway,43,21,129600
Netherlands,31,8,98500
Denmark,30,10,86800
Austria,18,0,54600
US,39,18,116400
Switzerland,39,20,160100
Switzerland,48,28,173700
Spain,51,27,113300
Netherlands,42,24,132000
Germany,40,22,140800
Austria,30,10,84200
Spain,35,11,91700
France,32,14,98200
Portugal,29,4,52300
Spain,18,0,53700
Mexico,36,11,63700
Mexico,35,13,65000
Austria,37,16,115200
Spain,22,1,45200
Canada,29,11,82300
UK,28,7,76200
Poland,36,18,74100
France,46,26,152600
Canada,20,0,69400
Mexico,32,11,48100
Norway,31,6,97300
Poland,55,33,129900
Denmark,41,22,128900
Ireland,31,9,106100
Mexico,25,1,11300
Argentina,30,4,24300
Spain,29,11,72800
Denmark,20,0,71800
France,28,7,77000
Portugal,43,20,93900
Ireland,41,19,120600
Portugal,24,4,40400
Netherlands,24,2,77500
France,31,11,98700
France,41,16,114800
Norway,36,14,121700
Spain,34,14,94600
Brazil,18,0,32200
Mexico,34,10,52300
Switzerland,25,7,115400
Ireland,41,16,100600
Belgium,31,11,99400
Canada,50,26,145800
Poland,39,17,73800
Canada,22,0,54300
UK,33,9,73100
Poland,21,3,43600
Switzerland,39,20,144400
Brazil,28,0,23800
Germany,30,10,89600
Canada,61,40,177600
UK,41,20,115800
Brazil,43,14,62000
US,29,8,105800
Argentina,31,12,55700
Ireland,33,15,106000
France,38,19,109400
Portugal,25,7,59800
UK,29,7,79400
Mexico,26,0,25300
Switzerland,52,33,173300
Mexico,26,5,39600
Argentina,30,8,30700
Switzerland,38,15,135200
Italy,32,9,70900
Germany,29,4,74000
Denmark,20,2,66900
Ireland,35,7,91700
Belgium,43,18,112400
Norway,28,4,92000
Argentina,40,19,66100
UK,48,24,144200
Canada,20,2,49100
Ireland,54,34,159300
Brazil,42,15,65400
Austria,27,2,77900
Belgium,52,32,156200
Ireland,18,0,45000
US,40,19,131200
UK,37,11,101600
Canada,21,0,59600
Brazil,38,20,75700
Ireland,45,20,129600
Portugal,48,24,104600
Belgium,34,11,78900
Austria,35,10,81200
Mexico,44,24,84800
US,18,0,80500
France,42,24,134100
US,34,10,97400
UK,54,29,152200
Netherlands,37,12,98700
Mexico,35,13,61900
Sweden,35,15,116800
Switzerland,45,26,167700
Poland,54,32,123800
Sweden,46,22,125800
Ireland,45,21,110300
Switzerland,50,24,163100
Argentina,40,19,68300
Argentina,22,0,5000
Netherlands,39,18,110800
Italy,46,24,117400
Spain,41,21,100100
Canada,35,17,97500
Argentina,27,7,36700
Sweden,18,0,54600
Brazil,41,17,83100
Sweden,27,7,81300
Germany,45,20,125200
Italy,36,18,97100
Italy,23,5,54600
US,27,3,81900
Sweden,28,4,88200
Netherlands,35,12,112600
Germany,47,24,130200
Mexico,19,0,29100
France,32,8,88100
Brazil,32,5,37000
Italy,28,10,85600
US,34,11,97400
Ireland,37,17,99000
France,38,18,135100
Netherlands,37,19,123300
Germany,43,21,131800
France,43,23,127200
Poland,23,0,42100
Italy,55,32,120100
Brazil,27,5,47900
Argentina,35,13,51500
Norway,19,0,70900
Brazil,39,18,57700
Spain,26,7,68300
Mexico,24,6,36900
Spain,37,17,90200
Argentina,21,0,11200
Argentina,18,0,17100
Mexico,56,36,124400
Norway,19,0,65800
Poland,33,5,50500
Mexico,25,7,46900
UK,41,14,109200
Belgium,34,12,94500
Canada,34,15,108700
Brazil,18,0,23200
Mexico,30,9,46000
Brazil,46,23,86300
Poland,18,0,47800
Ireland,34,12,88300
Austria,20,0,58100
Argentina,25,3,25900
Germany,34,15,101500
Portugal,45,23,89600
UK,18,0,60800
Netherlands,37,10,118500
UK,36,14,112600
Denmark,35,4,89600
Argentina,37,12,44500
US,25,7,95200
France,33,7,70500
Norway,36,14,120900
UK,43,15,111500
Belgium,41,23,126500
Argentina,55,37,109100
Argentina,32,10,45200
Argentina,38,16,50000
Mexico,49,27,93900
Austria,48,23,129800
Germany,28,0,75300
Ireland,44,23,125800
Canada,19,0,61900
Spain,31,11,72700
Poland,23,3,44500
Denmark,24,5,84200
Sweden,30,8,175600
Germany,22,0,71700
Spain,35,15,101700
Canada,36,12,90600
Denmark,42,19,134000
Mexico,47,20,69000
Portugal,36,17,75300
Spain,29,3,60600
Mexico,34,7,38200
Mexico,35,8,49000
UK,39,14,116800
Spain,29,5,62000
Mexico,46,23,70400
Poland,37,12,53200
Switzerland,53,31,164400
Italy,38,20,83900
Poland,34,9,57500
Germany,31,3,74700
UK,26,6,90600
Portugal,38,20,84800
Germany,56,34,170100
Belgium,39,15,99300
Mexico,39,21,66600
Switzerland,38,14,133900
Norway,37,14,107500
Canada,35,14,124100
Austria,38,12,76300
Poland,18,0,44600
Mexico,39,17,75100
Austria,47,26,131500
Italy,46,22,94000
Belgium,34,13,79800
Norway,32,7,102700
Argentina,39,14,58600
Norway,30,3,65700
UK,63,41,174200
UK,18,0,74000
Denmark,18,0,64600
Switzerland,36,13,132000
Germany,46,25,146800
Spain,38,16,96500
France,43,24,124000
Denmark,23,4,76300
Italy,18,0,53500
Canada,19,0,59400
Argentina,41,19,66900
Spain,34,14,80300
Sweden,35,11,99800
Belgium,27,6,71300
Belgium,44,22,120500
Portugal,48,28,113700
Brazil,54,33,111000
Mexico,21,0,20000
Switzerland,49,26,155700
Brazil,40,18,68100
Switzerland,40,22,162400
Germany,46,25,114500
Denmark,24,0,72700
Germany,33,8,85700
Ireland,50,24,118200
Portugal,18,0,28300
Argentina,39,19,69500
Ireland,34,9,98300
Belgium,49,23,127500
Denmark,32,12,105700
Switzerland,44,18,155400
Norway,35,11,102100
Mexico,28,4,32000
Brazil,27,1,22500
Spain,48,29,121600
Argentina,43,25,82400
Netherlands,48,24,125900
Mexico,35,13,58800
UK,39,21,123600
Germany,44,21,126900
Ireland,25,2,79200
Austria,38,20,111500
France,25,7,71200
Spain,36,11,76300
Italy,46,25,101300
US,30,6,91500
Switzerland,36,18,133700
UK,33,10,107700
Spain,21,0,36300
UK,33,13,103900
Austria,32,7,83900
Spain,27,4,51100
Austria,32,10,86300
Austria,45,24,118600
Brazil,42,23,89800
Canada,38,16,104800
Brazil,39,20,73200
Austria,41,22,125400
Mexico,48,28,103900
US,38,18,121600
Sweden,45,23,121600
Argentina,41,19,70400
Portugal,39,17,76900
Netherlands,20,0,69900
Argentina,44,24,77300
UK,39,20,118500
Argentina,38,19,63800
Norway,35,15,115900
France,29,8,101800
Sweden,55,33,154100
France,30,9,76500
Brazil,48,25,85200
Italy,38,19,95500
Ireland,25,6,80800
US,41,19,107100
Germany,43,24,129100
US,32,14,110600
UK,18,0,80200
Brazil,37,14,57800
Germany,22,1,56300
Sweden,45,19,106900
UK,26,8,88100
UK,49,26,145900
Canada,18,0,82600
Germany,48,23,137100
Portugal,32,5,51800
Norway,51,31,156900
Argentina,35,16,72300
Poland,37,19,88200
Netherlands,33,13,109100
Austria,30,6,89800
Sweden,28,8,84500
Austria,18,0,57100
Italy,40,20,101200
Sweden,40,16,124200
Italy,36,12,82500
Poland,25,1,31600
Spain,28,7,57000
Ireland,36,12,123800
Brazil,49,21,85600
Portugal,25,3,33300
UK,29,5,80000
Argentina,35,13,46900
Sweden,39,15,118200
Italy,27,1,45300
Norway,34,9,105700
US,31,10,90200
Canada,20,0,50100
Germany,38,14,103500
Argentina,48,22,81300
Poland,31,6,41500
Germany,21,0,62000
Switzerland,23,0,95600
Belgium,26,7,63200
Belgium,54,24,127500
Sweden,21,2,58000
Spain,29,11,82900
UK,48,27,138400
US,26,6,98700
Italy,37,12,78200
Germany,24,5,92000
Netherlands,45,20,127300
Argentina,20,0,30000
Belgium,36,18,109200
US,36,15,129600
Austria,45,27,139500
Denmark,54,30,162900
Portugal,23,3,69000
Germany,33,8,94400
Mexico,37,19,83200
Brazil,37,16,77900
Germany,28,4,80800
Italy,18,0,37500
Sweden,28,5,65300
Belgium,35,9,91400
France,45,27,144200
Norway,37,18,118600
Germany,35,13,118500
Germany,40,13,104100
Denmark,27,4,74500
Switzerland,43,21,165000
Ireland,18,0,71500
Spain,27,7,63300
Germany,30,2,66000
Ireland,28,9,97600
Argentina,18,0,6200
Netherlands,34,7,90800
Spain,28,9,81100
Poland,36,13,78600
Sweden,35,8,81400
Germany,36,13,110600
Sweden,24,6,78800
Portugal,42,24,104300
Belgium,46,24,133600
Sweden,37,12,116100
UK,32,9,89500
Netherlands,52,28,132700
US,43,18,106800
Germany,42,18,116200
Brazil,35,13,57300
Italy,48,28,123100
Brazil,20,0,16000
Norway,38,17,117400
Argentina,37,18,68400
Germany,28,6,92300
Argentina,50,29,80800
US,36,18,120700
Norway,24,0,73600
Spain,26,8,62300
Argentina,29,8,37000
Argentina,47,23,66300
Portugal,55,34,124400
Poland,42,19,107900
Italy,35,10,87800
US,25,0,66400
Austria,30,9,91500
Denmark,34,15,117600
Canada,36,16,107700
Norway,37,14,128900
Belgium,39,21,118400
UK,64,39,171900
Netherlands,39,21,118900
Brazil,39,14,77500
Spain,39,21,98200
Netherlands,45,23,126700
Italy,19,0,43300
Spain,30,6,53800
Italy,30,9,83900
Austria,48,24,129800
Poland,39,20,88400
Norway,40,22,137600
Mexico,31,12,45500
Germany,45,20,128800
Sweden,29,10,95600
Austria,47,20,105300
Germany,26,0,62900
Portugal,29,9,54000
Spain,28,8,62800
Netherlands,25,5,101900
Germany,27,4,90300
France,33,15,96200
Norway,30,9,90800
Italy,19,0,31300
Sweden,40,22,121500
Spain,25,0,47600
Spain,32,14,99500
Belgium,26,1,76900
Sweden,36,9,85200
Ireland,24,3,86400
Poland,18,0,41400
Italy,27,0,44600
Switzerland,18,0,91000
Denmark,33,10,80200
Belgium,22,0,64500
Portugal,46,26,100800
Mexico,35,13,72300
Netherlands,43,23,122600
France,35,16,107200
Ireland,26,3,65000
Ireland,45,22,115600
UK,46,20,127900
Austria,32,8,89800
Belgium,23,0,66900
Norway,36,11,114500
Spain,22,0,64500
US,34,10,93400
Italy,56,33,110600
Denmark,50,31,155300
Italy,36,18,110200
France,33,7,90400
Portugal,44,20,97100
Netherlands,33,12,106400
Poland,43,20,82800
Switzerland,53,32,178400
